City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,conception bay south,47.4999,-52.9981,25.53,76,63,7.38,CA,1694972091
84,amparafaravola,-17.5833,48.2167,16.35,94,9,2.28,MG,1694972091
85,belyy yar,53.6039,91.3903,7.94,87,0,0.0,RU,1694972091
86,cidreira,-30.1811,-50.2056,27.66,52,0,2.52,BR,1694972091
87,mar del plata,-38.0023,-57.5575,13.01,75,0,4.63,AR,1694971864
88,coahuayana de hidalgo,18.7,-103.6583,32.56,54,89,2.07,MX,1694972091
89,hithadhoo,-0.6,73.0833,27.84,80,60,7.26,MV,1694972092
90,gamba,-2.65,10.0,24.09,85,99,3.25,GA,1694972092
91,puerto natales,-51.7236,-72.4875,4.96,50,14,2.89,CL,1694972092
92,sao desiderio,-12.3633,-44.9733,37.66,16,10,4.7,BR,1694972092
93,melfort,52.8667,-104.6177,20.07,40,3,4.63,CA,1694972092
94,nouadhibou,20.931,-17.0347,25.99,65,8,5.66,MR,1694971850
95,mount gambier,-37.8333,140.7667,10.33,95,98,0.41,AU,1694971926
96,grytviken,-54.2811,-36.5092,-1.9,83,82,6.4,GS,1694972093
97,okha,53.5739,142.9478,6.71,66,45,2.33,RU,1694972093
98,katsuura,35.1333,140.3,25.27,91,5,4.2,JP,1694972093
99,papatowai,-46.5619,169.4708,7.29,87,98,11.64,NZ,1694971851
100,vorgashor,67.5833,63.95,2.35,88,85,3.75,RU,1694972093
101,lompoc,34.6391,-120.4579,20.85,73,75,4.63,US,1694971851
102,iquique,-20.2208,-70.1431,20.02,66,9,3.33,CL,1694971858
103,mus,39.0,41.75,18.36,39,11,1.86,TR,1694971921
104,chonchi,-42.6128,-73.8092,9.51,65,34,2.88,CL,1694972094
105,fairmont,39.4851,-80.1426,18.44,93,100,1.68,US,1694972094
106,santa ana,33.7456,-117.8678,22.36,80,100,1.54,US,1694972094
107,lebu,-37.6167,-73.65,10.46,58,5,4.51,CL,1694972094
108,taro,-8.3862,115.28,20.0,93,61,0.75,ID,1694972094
109,newman,37.3138,-121.0208,22.81,53,22,2.11,US,1694972094
110,haiku-pauwela,20.9219,-156.3051,24.47,83,40,6.17,US,1694972095
111,port mathurin,-19.6833,63.4167,22.85,78,42,10.31,MU,1694972095
112,mount pearl,47.5166,-52.7813,25.19,79,75,6.17,CA,1694972095
113,codrington,-38.2667,141.9667,10.33,95,100,1.54,AU,1694972095
114,iskateley,67.6803,53.1512,4.47,81,25,3.45,RU,1694971853
115,sungai penuh,-2.0833,101.3833,17.98,95,50,0.95,ID,1694972095
116,broken hill,-31.95,141.4333,20.34,19,1,6.05,AU,1694971853
